Nickname,Followers,Language,Average Viewers,Hours Watched,Followers Gained,Peak Viewers,Hours Streamed,Streams,Game 1,Game 2,Game 3,Game 4,Game 5
Ninja,19021767,English,5246,586257,2726,18700,111,18,Fortnite,FINAL FANTASY VII REBIRTH,Just Chatting,,
auronplay,16199056,Spanish,51460,4438450,51616,92307,86,19,Grand Theft Auto V,Just Chatting,Fortnite,FINAL FANTASY VII REBIRTH,The Outlast Trials
ibai,15526833,Spanish,54723,6963580,96232,798288,127,28,League of Legends,Just Chatting,VALORANT,Supermarket Simulator,Sports
Rubius,14897532,Spanish,19936,2516962,48484,48554,126,22,Just Chatting,Supermarket Simulator,Sekiro: Shadows Die Twice,Fortnite,UNDERTALE
xQc,11979569,English,31934,1868170,-1336,51225,58,18,Just Chatting,Grand Theft Auto V,A Difficult Game About Climbing,KinitoPET,TEKKEN 8
TheGrefg,11889934,Spanish,8518,728371,12016,26090,85,25,Just Chatting,EA Sports FC 24,Fortnite,Sports,VALORANT
Tfue,11399646,English,2840,2130,-112,4401,0,1,Just Chatting,,,,
juansguarnizo,11185630,Spanish,8857,1089435,17078,29144,123,17,Grand Theft Auto V,Just Chatting,Sports,EA Sports FC 24,Resident Evil 6
shroud,10824862,English,13099,2960437,61994,53377,226,25,Tom Clancy's Rainbow Six Siege,Last Epoch,Dragon's Dogma II,Nightingale,Just Chatting
ElMariana,9451992,Spanish,19358,1316361,101022,33531,68,14,Just Chatting,Call of Duty: Warzone,ROBLOX,Undisputed,Habbo
KaiCenat,9427177,English,64656,8292212,378319,216468,128,17,Just Chatting,The Last of Us Part II: Remastered,A Difficult Game About Climbing,I'm Only Sleeping,Tom Clancy's Rainbow Six Siege
pokimane,9317666,English,6742,180353,-8289,12029,26,6,VALORANT,Just Chatting,TEKKEN 8,,
ElSpreen,9138375,Spanish,16802,961931,71732,28044,57,15,Just Chatting,Supermarket Simulator,Minecraft,Counter-Strike,Hospital 666
sodapoppin,8885288,English,12470,2303860,-1315,26135,184,25,Backpack Battles,Cyberpunk 2077,ELDEN RING,World of Warcraft,Supermarket Simulator
Heelmike,7429524,English,0,0,0,0,0,0,,,,,
tommyinnit,7382606,English,2721,8165,-4263,5658,3,3,Just Chatting,,,,
Clix,7338893,English,19472,2463229,183770,130208,126,18,Fortnite,Just Chatting,I'm Only Sleeping,,
Myth,7446663,English,0,0,0,0,0,0,,,,,
AdinRoss,7251801,English,0,0,0,0,0,0,,,,,
alanzoka,6992779,Portuguese,16867,2319340,43793,27820,137,19,Just Chatting,Pacific Drive,Sons of the Forest,A Difficult Game About Climbing,Dragon's Dogma II
